timestamp,time,symbol,bid,bidVolume,ask,askVolume,lastPrice,baseVolume,quoteVolume
1753460315707,16:18:35.707,ADA/USDT:USDT,0.7847,694.7,0.7848,231.7,0.7847,3975123.9,
1753460315807,16:18:35.807,ADA/USDT:USDT,0.7847,670.0,0.7848,209.0,0.7847,3975124.1,
1753460316015,16:18:36.015,ADA/USDT:USDT,0.7847,579.5,0.7848,215.9,0.7847,3975124.1,
1753460316218,16:18:36.218,ADA/USDT:USDT,0.7847,145.0,0.7848,331.0,0.7847,3975124.1,
1753460316325,16:18:36.325,ADA/USDT:USDT,0.7847,96.5,0.7848,342.1,0.7847,3975124.1,
1753460316430,16:18:36.430,ADA/USDT:USDT,0.7847,0.3,0.7848,344.5,0.7847,3975124.1,
1753460316797,16:18:36.797,ADA/USDT:USDT,0.7847,132.4,0.7848,327.7,0.7847,3975124.1,
1753460316903,16:18:36.903,ADA/USDT:USDT,0.7847,134.0,0.7848,262.5,0.7847,3975124.1,
1753460317006,16:18:37.006,ADA/USDT:USDT,0.7847,321.2,0.7848,0.7,0.7847,3975124.3,
1753460317107,16:18:37.107,ADA/USDT:USDT,0.7847,321.0,0.7848,0.7,0.7847,3975124.3,
1753460317212,16:18:37.212,ADA/USDT:USDT,0.7847,322.2,0.7848,0.7,0.7847,3975124.3,
1753460317324,16:18:37.324,ADA/USDT:USDT,0.7847,431.9,0.7848,0.9,0.7847,3975124.3,
1753460317426,16:18:37.426,ADA/USDT:USDT,0.7847,455.2,0.7848,0.9,0.7848,3975124.5,
1753460317577,16:18:37.577,ADA/USDT:USDT,0.7848,853.1,0.7849,0.2,0.7848,3975125.4,
1753460317710,16:18:37.710,ADA/USDT:USDT,0.7848,831.4,0.7849,71.4,0.7848,3975125.4,
1753460317913,16:18:37.913,ADA/USDT:USDT,0.7848,360.1,0.7849,287.5,0.7848,3975125.6,
1753460318021,16:18:38.021,ADA/USDT:USDT,0.7848,360.1,0.7849,287.7,0.7848,3975125.6,
1753460318129,16:18:38.129,ADA/USDT:USDT,0.7847,164.0,0.7848,495.5,0.7848,3975125.6,
1753460318246,16:18:38.246,ADA/USDT:USDT,0.7847,222.2,0.7848,221.0,0.7848,3975125.6,
1753460318377,16:18:38.377,ADA/USDT:USDT,0.7847,222.2,0.7848,178.5,0.7848,3975125.6,
1753460318482,16:18:38.482,ADA/USDT:USDT,0.7847,223.0,0.7848,152.3,0.7848,3975125.6,
1753460318606,16:18:38.606,ADA/USDT:USDT,0.7847,240.5,0.7848,91.9,0.7848,3975125.6,
1753460318719,16:18:38.719,ADA/USDT:USDT,0.7847,240.5,0.7848,38.9,0.7848,3975178.6,
1753460319095,16:18:39.095,ADA/USDT:USDT,0.7847,241.7,0.7848,64.5,0.7848,3975178.6,
1753460319304,16:18:39.304,ADA/USDT:USDT,0.7848,599.6,0.7849,0.9,0.7848,3975178.6,
1753460319406,16:18:39.406,ADA/USDT:USDT,0.7848,374.6,0.7849,331.7,0.7848,3975178.6,
1753460319513,16:18:39.513,ADA/USDT:USDT,0.7848,87.9,0.7849,492.4,0.7848,3975178.6,
1753460319616,16:18:39.616,ADA/USDT:USDT,0.7848,47.5,0.7849,492.4,0.7848,3975178.6,
1753460319746,16:18:39.746,ADA/USDT:USDT,0.7848,47.5,0.7849,485.9,0.7848,3975178.6,
1753460319881,16:18:39.881,ADA/USDT:USDT,0.7848,47.5,0.7849,475.1,0.7848,3975178.6,
1753460319997,16:18:39.997,ADA/USDT:USDT,0.7847,190.0,0.7849,485.9,0.7848,3975200.5,
1753460320105,16:18:40.105,ADA/USDT:USDT,0.7847,134.3,0.7848,736.3,0.7848,3975200.5,
